release_date,artist,album,fantano_rating,review_link,number_user_reviews,number_critic_reviews,format,label,genres,producer,website,tracks,features,number_tracks,avg_track_rating,total_length,user_score,critic_score,info_link
"August 23, 2011",Chelsea Wolfe,Apokalypsis,80,https://www.youtube.com/watch?v=FMhrhf5kENY,177,7,LP,NA,"Gothic Rock, Ethereal Wave","Chelsea Wolfe, Ben Chisholm",chelseawolfe.net,NA,NA,NA,NA,NA,79,67,https://www.albumoftheyear.org/album/8383-chelsea-wolfe-apokalypsis.php
"November 15, 2019",Lil Peep,Everybody's Everything,50,https://www.youtube.com/watch?v=VuWOK6_7GZU,169,9,Compilation,Columbia,"Hip Hop, Emo Rap",NA,NA,NA,NA,NA,NA,NA,45,66,https://www.albumoftheyear.org/album/189168-lil-peep-everybodys-everything.php
"February 14, 2012",Goatwhore,Blood for the Master,70,https://www.youtube.com/watch?v=Wjc0FV3AAgM&t=293s,6,5,LP,Metal Blade,"Death Metal, Black Metal, Metal",NA,NA,NA,NA,NA,NA,NA,73,60,https://www.albumoftheyear.org/album/13175-goatwhore-blood-for-the-master.php
"August 23, 2019",Taylor Swift,Lover,60,https://www.youtube.com/watch?v=uqOiWhlOny4,2316,27,LP,Republic,"Electropop, Synthpop","Taylor Swift, Frank Dukes, Jack Antonoff, Louis Bell, Joel Little",taylorswift.com,I Forgot That You Existed [65] (2:50) | Cruel Summer [91] (2:58) | Lover [89] (3:41) | The Man [70] (3:10) | The Archer [82] (3:31) | I Think He Knows [77] (2:53) | Miss Americana & the Heartbreak Prince [81] (3:54) | Paper Rings [79] (3:42) | Cornelia Street [84] (4:47) | Death By A Thousand Cuts [83] (3:18) | London Boy [66] (3:10) | Soon You'll Get Better [80] (3:21) | False God [83] (3:20) | You Need To Calm Down [59] (2:51) | Afterglow [83] (3:43) | ME! [44] (3:13) | It's Nice To Have A Friend [66] (2:30) | Daylight [82] (4:53),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | The Chicks | NA | NA | NA | Brendon Urie | NA | NA,18,75.77777777777777,"Total Length: 1 hour, 1 minute",68,74,https://www.albumoftheyear.org/album/159536-taylor-swift-lover.php
"October 19, 2010",Kings of Leon,Come Around Sundown,40,https://www.youtube.com/watch?v=xBxvMXOjHM4,186,30,LP,RCA,"Alternative Rock, Pop Rock","Angelo Petraglia, Jacquire King",kingsofleon.com,NA,NA,NA,NA,NA,64,61,https://www.albumoftheyear.org/album/1925-kings-of-leon-come-around-sundown.php
"June 17, 2014",Lone,Reality Testing,30,https://www.youtube.com/watch?v=26axVHigRdY,83,17,LP,R&S,"House, Electronic",NA,NA,NA,NA,NA,NA,NA,75,73,https://www.albumoftheyear.org/album/14634-lone-reality-testing.php
"July 9, 2014",Kyary Pamyu Pamyu,ピカピカふぁんたじん [Pika Pika Fantajin],70,https://www.youtube.com/watch?v=LkUQX0Gqo6Q,55,6,LP,Warner Music Japan,"Electropop, Dance Pop, J-Pop",NA,NA,NA,NA,NA,NA,NA,72,71,https://www.albumoftheyear.org/album/17195-kyary-pamyu-pamyu-pika-pika-fantajin.php
"August 6, 2013",Gorguts,Colored Sands,80,https://www.youtube.com/watch?v=XV6nHQJMe7g,84,7,LP,Season of Mist,"Death Metal, Technical Death Metal",NA,NA,NA,NA,NA,NA,NA,82,87,https://www.albumoftheyear.org/album/9478-gorguts-colored-sands.php
"July 17, 2015",Tame Impala,Currents,70,https://www.youtube.com/watch?v=_ASR7i5RPKM,3847,45,LP,"Interscope, Modular","Psychedelic Pop, Neo-Psychedelia, Synthpop",Kevin Parker,tameimpala.com,"Let It Happen [97] (7:46) | Nangs [86] (1:47) | The Moment [90] (4:15) | Yes I'm Changing [91] (4:30) | Eventually [91] (5:19) | Gossip [80] (0:55) | The Less I Know the Better [96] (3:38) | Past Life [82] (3:47) | Disciples [84] (1:48) | 'Cause I'm a Man [87] (4:01) | Reality In Motion [86] (4:12) | Love/Paranoia [87] (3:06) | New Person, Same Old Mistakes [93] (6:02)",NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,13,88.46153846153847,Total Length: 51 minutes,84,83,https://www.albumoftheyear.org/album/32344-tame-impala-currents.php
"February 5, 2021",The Weather Station,Ignorance,50,https://youtu.be/TUP1_EmhwI4,1155,23,LP,"Fat Possum, Next Door","Art Pop, Sophisti-Pop, Chamber Pop, Folk Pop","Tamara Hope, Marcus Paquin",NA,Robber [84] (5:20) | Atlantic [84] (3:53) | Tried to Tell You [79] (3:38) | Parking Lot [82] (4:06) | Loss [73] (3:36) | Separated [74] (3:24) | Wear [72] (3:18) | Trust [71] (5:00) | Heart [79] (3:47) | Subdivisions [79] (4:40),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,10,77.7,Total Length: 40 minutes,73,85,https://www.albumoftheyear.org/album/303633-the-weather-station-ignorance.php
"March 4, 2013",Shlohmo,Laid Out,80,https://www.youtube.com/watch?v=aDn2lSqXhe4,43,7,EP,Friends of Friends,"Glitch Hop, Electronic, Wonky",NA,NA,NA,NA,NA,NA,NA,76,79,https://www.albumoftheyear.org/album/5876-shlohmo-laid-out.php
"August 8, 2018",Iglooghost,Steel Mogu,70,https://www.youtube.com/watch?v=nFM1sCBx9do,300,4,EP,Gloo,"Wonky, UK Bass, Trap [EDM], Bubblegum Bass, IDM",NA,NA,NA,NA,NA,NA,NA,75,70,https://www.albumoftheyear.org/album/114814-iglooghost-steel-mogu.php
"February 10, 2017",Jesca Hoop,Memories Are Now,70,https://www.youtube.com/watch?v=mubiVMY-EpM,252,16,LP,Sub Pop,"Indie Folk, Singer-Songwriter",NA,NA,NA,NA,NA,NA,NA,78,82,https://www.albumoftheyear.org/album/65719-jesca-hoop-memories-are-now.php
"June 7, 2011",Fucked Up,David Comes to Life,50,https://www.youtube.com/watch?v=K-J6VwasuOg&t=264s,101,26,LP,Matador,Hardcore Punk,NA,fuckedup.cc,NA,NA,NA,NA,NA,79,81,https://www.albumoftheyear.org/album/2398-fucked-up-david-comes-to-life.php
"November 3, 2014",Clark,Clark,60,https://www.youtube.com/watch?v=5QhXTgpazuI,158,13,LP,Warp,"IDM, Techno, Electronic",NA,throttleclark.com,NA,NA,NA,NA,NA,77,79,https://www.albumoftheyear.org/album/20309-clark-clark.php
"August 19, 2013",Årabrot,Årabrot,60,https://www.youtube.com/watch?v=rwZLiOQbEPM,1,3,LP,Fysisk Format,Noise Rock,NA,NA,NA,NA,NA,NA,NA,90,73,https://www.albumoftheyear.org/album/11645-arabrot-Årabrot.php
"April 8, 2020",Bladee,EXETER,50,https://www.youtube.com/watch?v=Hs3Bfg_5t8Q,681,2,Mixtape,YEAR0001,"Cloud Rap, Experimental Hip Hop, Art Pop",Gud,NA,MIRROR (HYMN) [Intro] [81] (1:40) | WONDERLAND [88] (2:05) | MERRY-GO-ROUND [87] (2:04) | RAIN3OW STAR (LOVE IS ALL) [84] (2:14) | EVERY MOMENT SPECIAL [86] (2:03) | DNA RAIN [87] (1:47) | OPEN SYMBOLS (PLAY) BE IN YOUR MIND [78] (2:07) | LOVESTORY [91] (2:15) | IMAGINARY [77] (2:06),NA | Ecco2k | NA | NA | NA | NA | NA | Ecco2k | NA,9,84.33333333333333,Total Length: 18 minutes,64,61,https://www.albumoftheyear.org/album/230148-bladee-exeter.php
"May 25, 2010",TOBACCO,Maniac Meat,70,https://www.youtube.com/watch?v=wwikVZU7CfA,28,12,LP,Anticon,Psychedelic,NA,NA,NA,NA,NA,NA,NA,68,66,https://www.albumoftheyear.org/album/1703-tobacco-maniac-meat.php
"July 10, 2015",Ghostface Killah & Adrian Younge,Twelve Reasons To Die II,70,https://www.youtube.com/watch?v=X5BdcV0HV9Q,63,20,LP,Linear Labs,Hip Hop,Adrian Younge,NA,NA,NA,NA,NA,NA,74,72,https://www.albumoftheyear.org/album/33447-ghostface-killah-adrian-younge-twelve-reasons-to-die-ii.php
"April 3, 2020",Thundercat,It Is What It Is,60,https://www.youtube.com/watch?v=mMY3eoqp0kg,1516,30,LP,Brainfeeder,"Psychedelic Soul, Neo-Soul, Jazz-Funk",NA,NA,Lost in Space / Great Scott / 22-26 [80] (261:22) | Innerstellar Love [84] (2:41) | I Love Louis Cole [89] (3:24) | Black Qualls [88] (3:09) | Miguel's Happy Dance [79] (2:11) | How Sway [81] (1:14) | Funny Thing [95] (1:56) | Overseas [85] (1:28) | Dragonball Durag [98] (3:01) | How I Feel [78] (1:08) | King of the Hill [85] (2:51) | Unrequited Love [90] (3:14) | Fair Chance [90] (3:57) | Existential Dread [80] (0:51) | It Is What It Is [86] (5:02),"NA | NA | Louis Cole | Steve Lacy, Steve Arrington, Childish Gambino | NA | NA | NA | Zack Fox | NA | NA | NA | NA | Ty Dolla $ign, Lil B | NA | Pedro Martins",15,85.86666666666666,Total Length: 37 minutes,73,81,https://www.albumoftheyear.org/album/208221-thundercat-it-is-what-it-is.php
"September 18, 2012",The Gaslamp Killer,Breakthrough,80,https://www.youtube.com/watch?v=SjFIvCue6oE,39,18,LP,Brainfeeder,Experimental,NA,NA,NA,NA,NA,NA,NA,75,70,https://www.albumoftheyear.org/album/4179-the-gaslamp-killer-breakthrough.php
"February 11, 2022",Big Thief,Dragon New Warm Mountain I Believe in You,90,https://youtu.be/QB8CkJcztoM,1727,32,LP,4AD,"Indie Folk, Folk Rock, Alt-Country, Indie Rock",James Krivchenia,bigthief.net,"Change [87] (4:55) | Time Escaping [87] (3:48) | Spud Infinity [85] (5:34) | Certainty [86] (3:07) | Dragon New Warm Mountain I Believe In You [92] (4:43) | Sparrow [84] (5:11) | Little Things [89] (5:44) | Heavy Bend [83] (1:36) | Flower of Blood [88] (4:24) | Blurred View [84] (4:06) | Red Moon [84] (4:19) | Dried Roses [80] (2:35) | No Reason [86] (3:47) | Wake Me up to Drive [79] (3:43) | Promise Is a Pendulum [83] (4:12) | 12,000 Lines [80] (2:59) | Simulation Swarm [94] (4:12) | Love Love Love [83] (4:13) | The Only Place [85] (3:14) | Blue Lightning [84] (3:51)",NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,20,85.15,"Total Length: 1 hour, 20 minutes",83,85,https://www.albumoftheyear.org/album/435870-big-thief-dragon-new-warm-mountain-i-believe-in-you.php
"September 4, 2015",Iron Maiden,The Book of Souls,60,https://www.youtube.com/watch?v=bS3S9siJqdc,160,27,LP,Parlophone,Heavy Metal,Kevin Shirley,ironmaiden.com,If Eternity Should Fail [79] (8:28) | Speed of Light [79] (5:01) | The Great Unknown [77] (6:37) | The Red and the Black1 [80] (13:33) | When the River Runs Deep [71] (5:52) | The Book of Souls1 [82] (10:27) | Death or Glory [80] (5:12) | Shadows of the Valley [79] (7:32) | Tears of a Clown [72] (4:58) | The Man of Sorrows [60] (6:27) | Empire of the Clouds1 [92] (18:01),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,11,77.36363636363636,"Total Length: 1 hour, 32 minutes",70,79,https://www.albumoftheyear.org/album/35023-iron-maiden-the-book-of-souls.php
"September 14, 2010",Black Mountain,Wilderness Heart,60,https://www.youtube.com/watch?v=9pVPVR_oYuM,21,25,LP,Jagjaguwar,Indie Rock,NA,blackmountainarmy.com,NA,NA,NA,NA,NA,74,70,https://www.albumoftheyear.org/album/1904-black-mountain-wilderness-heart.php
"July 6, 2010",Big Boi,Sir Lucious Left Foot: The Son of Chico Dusty,60,https://www.youtube.com/watch?v=GqT7NVvRDBQ,290,27,LP,"Purple Ribbon, Def Jam",Hip Hop,NA,bigboi.com,NA,NA,NA,NA,NA,79,85,https://www.albumoftheyear.org/album/1652-big-boi-sir-lucious-left-foot-the-son-of-chico-dusty.php
"March 16, 2018",XXXTENTACION,?,40,https://www.youtube.com/watch?v=gWUdEgaTdo8,1664,4,LP,"Bad Vibes Forever, Caroline International, Capitol Records","Emo Rap, Alternative R&B","John Cunningham, XXXTENTACION, TM88, Tre Pounds, Z3N, Smash David, Robert Soukiasyan, Dell Soda, P. Soul, Den Beats, Laron",NA,"Introduction (instructions) [13] (1:57) | ALONE, PART 3 [57] (31:49) | Moonlight [73] (2:15) | SAD! [69] (2:46) | the remedy for a broken heart (why am I so in love) [59] (2:40) | Floor 555 [56] (551:33) | NUMB [68] (3:06) | infinity (888) [73] (2:56) | going down! [52] (1:55) | Pain = BESTFRIEND [40] (1:41) | $$$ [41] (2:10) | love yourself (interlude) [48] (0:48) | SMASH! [37] (1:49) | I don't even speak spanish lol [36] (3:12) | changes [57] (2:01) | Hope [59] (1:50) | schizophrenia [49] (1:20) | before I close my eyes [60] (1:39)","NA | NA | NA | NA | NA | NA | NA | Joey Bada$$ | NA | Travis Barker | NA | NA | PnB Rock | Rio Santana, Judah, Andrez Babii | NA | NA | NA | NA",18,52.611111111111114,Total Length: 37 minutes,47,50,https://www.albumoftheyear.org/album/104970-xxxtentacion-.php
"April 8, 2014",Girl Talk & Freeway,Broken Ankles EP,80,https://www.youtube.com/watch?v=TSgrGqOIXGw,22,6,EP,-,"Hip Hop, Plunderphonics, East Coast Hip Hop",NA,NA,NA,NA,NA,NA,NA,73,69,https://www.albumoftheyear.org/album/14477-girl-talk-freeway-broken-ankles.php
"March 10, 2017",Ondatrópica,Baile Bucanero,70,https://www.youtube.com/watch?v=1GRf65B6-Qw,13,1,LP,Soundway,"Cumbia, Calypso, Afro-Cuban Jazz, Latin Jazz",NA,NA,NA,NA,NA,NA,NA,69,70,https://www.albumoftheyear.org/album/71735-ondatropica-baile-bucanero.php
"September 8, 2017",Zola Jesus,Okovi,60,https://www.youtube.com/watch?v=6RymqLslg7s,277,25,LP,Sacred Bones,"Art Pop, Darkwave",NA,NA,NA,NA,NA,NA,NA,76,77,https://www.albumoftheyear.org/album/81523-zola-jesus-okovi.php
"November 3, 2017",Armand Hammer,Rome,60,https://www.youtube.com/watch?v=Ghbw0DOaNHY,99,2,LP,Backwoodz Studioz,"Hip Hop, Abstract Hip Hop, Hardcore Hip Hop",NA,NA,NA,NA,NA,NA,NA,74,71,https://www.albumoftheyear.org/album/93230-armand-hammer-rome.php
"May 15, 2021",Panopticon,...And Again Into the Light,80,https://www.youtube.com/watch?v=58of4qFifBM,218,2,LP,Bindrune Recordings,Atmospheric Black Metal,NA,NA,And Again Into the Light [81] (4:25) | Dead Loons1 [87] (11:26) | Rope Burn Exit [85] (8:32) | A Snowless Winter1 [81] (12:10) | Moth Eaten Soul [80] (7:39) | As Golden Laughter Echoes [70] (1:55) | The Embers at Dawn1 [81] (12:40) | Know Hope1 [82] (12:18),NA | NA | NA | NA | NA | NA | NA | NA,8,80.875,"Total Length: 1 hour, 11 minutes",77,80,https://www.albumoftheyear.org/album/327548-panopticon-and-again-into-the-light.php
"May 27, 2014",Sharon Van Etten,Are We There,60,https://www.youtube.com/watch?v=VFBMewMCCxQ,636,36,LP,Jagjaguwar,"Singer-Songwriter, Indie Rock, Folk Rock","Sharon Van Etten, Stewart Lerman",sharonvanetten.com,Afraid of Nothing [95] (4:05) | Taking Chances [90] (3:50) | Your Love is Killing Me [100] (6:18) | Our Love [93] (3:52) | Tarifa [95] (4:50) | I Love You But I'm Lost [83] (4:18) | You Know Me Well [85] (4:31) | Break Me [85] (4:01) | Nothing Will Change [83] (3:15) | I Know [90] (3:35) | Every Time the Sun Comes Up [99] (4:22),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,11,90.72727272727272,Total Length: 47 minutes,81,85,https://www.albumoftheyear.org/album/13948-sharon-van-etten-are-we-there.php
"August 19, 2016",Crystal Castles,Amnesty (I),40,https://www.youtube.com/watch?v=EmAp9HUWu_0,308,23,LP,"Casablanca, Fiction",Witch House,NA,www.crystalcastles.com,NA,NA,NA,NA,NA,61,64,https://www.albumoftheyear.org/album/57383-crystal-castles-amnesty.php
"February 25, 2022",EARTHGANG,Ghetto Gods,70,https://www.youtube.com/watch?v=oVZK8MBWMs8,346,8,LP,"Dreamville, Interscope","Southern Hip Hop, Trap","STLNDRMS, Phoelix, Latrell James, jetsonmade, The Breed, Daoud",NA,THE GLOW [57] (0:45) | GHETTO GODS [77] (2:46) | BILLI [69] (2:43) | WATERBOYZ [77] (5:03) | HEY BOO [54] (0:31) | AMEN [66] (3:16) | ALL EYES ON ME [70] (4:00) | LIE TO ME [72] (4:07) | JEANS INTERLUDE [59] (0:33) | BLACK PEARLS [70] (3:18) | NEEZY'S WALK [67] (0:37) | AMERICAN HORROR STORY [76] (5:09) | POWER [71] (4:33) | ZAZA [61] (0:42) | SMOKE SUM [71] (4:54) | STRONG FRIENDS [72] (4:39) | RUN TOO [71] (5:18),NA | NA | Future | NA | NA | NA | NA | NA | NA | Baby Tate | Lynae Vanee | NA | NA | NA | NA | NA | NA,17,68.23529411764706,Total Length: 53 minutes,67,67,https://www.albumoftheyear.org/album/336352-earthgang-ghetto-gods.php
"October 8, 2021",James Blake,Friends That Break Your Heart,80,https://youtu.be/P_4jJvEh6Q0,1274,23,LP,"Republic, Polydor","Alternative R&B, Ambient Pop, Art Pop","James Blake, Joji, Metro Boomin, Frank Dukes, Take A Daytrip, Khushi, Rick Nowels, Dominic Maker, Jameela Jamil, Josh Stadlen",www.jamesblakemusic.com,Famous Last Words [87] (4:16) | Life Is Not The Same [90] (3:19) | Coming Back [81] (3:15) | Funeral [80] (2:35) | Frozen [77] (3:56) | I'm So Blessed You're Mine [74] (3:15) | Foot Forward [77] (2:33) | Show Me [81] (3:38) | Say What You Will [92] (4:40) | Lost Angel Nights [86] (3:59) | Friends That Break Your Heart [84] (3:21) | If I'm Insecure [84] (4:55),"NA | NA | SZA | NA | J.I.D, Swavay | NA | NA | Monica Martin | NA | NA | NA | NA",12,82.75,Total Length: 43 minutes,77,74,https://www.albumoftheyear.org/album/393022-james-blake-friends-that-break-your-heart.php
"October 6, 2017",Trippie Redd,A Love Letter To You 2,50,https://www.youtube.com/watch?v=rW4C65jSLIo,237,3,Mixtape,TenThousand Projects,"Trap, Pop Rap, Emo Rap","Digital Nas, DY Krazy, 12Hunna, Young God",NA,NA,NA,NA,NA,NA,55,59,https://www.albumoftheyear.org/album/91498-trippie-redd-a-love-letter-to-you-2.php
"June 17, 2016",Red Hot Chili Peppers,The Getaway,50,https://www.youtube.com/watch?v=osgQqOgJGtw,485,26,LP,Warner Bros.,"Alternative Rock, Funk Rock",NA,redhotchilipeppers.com,The Getaway [82] (4:10) | Dark Necessities [94] (5:02) | We Turn Red [54] (3:20) | The Longest Wave [64] (3:31) | Goodbye Angels [79] (4:28) | Sick Love [67] (3:41) | Go Robot [76] (4:23) | Feasting On the Flowers [70] (3:22) | Detroit [56] (3:46) | This Ticonderoga [55] (3:35) | Encore [82] (4:14) | The Hunter [67] (4:00) | Dreams of a Samurai [68] (6:09),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,13,70.3076923076923,Total Length: 53 minutes,65,66,https://www.albumoftheyear.org/album/54640-red-hot-chili-peppers-the-getaway.php
"September 4, 2015",FIDLAR,Too,40,https://www.youtube.com/watch?v=dZNbP2WerLA,105,25,LP,"Wichita, Mom + Pop","Punk Rock, Garage Punk",NA,fidlarla.com,NA,NA,NA,NA,NA,71,73,https://www.albumoftheyear.org/album/34129-fidlar-too.php
"September 25, 2020",Joji,Nectar,60,https://www.youtube.com/watch?v=QBgqntNfsTo,2052,5,LP,"88rising, 12Tone","Alternative R&B, Alt-Pop",The Donuts,NA,Ew [87] (3:27) | MODUS [85] (3:27) | Tick Tock [78] (2:12) | Daylight [82] (2:43) | Upgrade [73] (1:29) | Gimme Love [86] (3:34) | Run [94] (3:15) | Sanctuary [90] (3:00) | High Hopes [62] (3:02) | NITROUS [73] (2:11) | Pretty Boy [77] (2:36) | Normal People [71] (2:46) | Afterthought [78] (3:14) | Mr. Hollywood [79] (3:22) | 777 [71] (773:01) | Reanimator [71] (3:03) | Like You Do [87] (4:00) | Your Man [74] (2:43),NA | NA | NA | NA | NA | NA | NA | NA | Omar Apollo | NA | Lil Yachty | Rei Brown | NA | NA | NA | Yves Tumor | NA | NA,18,78.77777777777777,Total Length: 53 minutes,70,67,https://www.albumoftheyear.org/album/233085-joji-nectar.php
"July 22, 2020",Boldy James & Sterling Toles,Manger On McNichols,80,https://youtu.be/KD-UKHZaycQ,391,3,LP,-,"Hip Hop, Gangsta Rap, Jazz Rap, Jazz",NA,NA,NA,NA,NA,NA,NA,80,82,https://www.albumoftheyear.org/album/249183-boldy-james-sterling-toles-manger-on-mcnichols.php
"February 24, 2017",Xiu Xiu,FORGET,80,https://www.youtube.com/watch?v=otyLHbEfRDQ,504,13,LP,Polyvinyl,"Art Pop, Noise Pop",NA,xiuxiu.org,NA,NA,NA,NA,NA,78,74,https://www.albumoftheyear.org/album/65600-xiu-xiu-forget.php
"August 28, 2015",Destroyer,Poison Season,80,https://www.youtube.com/watch?v=MOAxsCaBaU4,424,33,LP,"Merge, Dead Oceans",Chamber Pop,"David Carswell, Dan Bejar",NA,"Times Square, Poison Season I [89] (2:33) | Dream Lover [92] (3:48) | Forces from Above [86] (5:51) | Hell [89] (3:17) | The River [89] (3:35) | Girl in a Sling [82] (3:04) | Times Square [90] (4:11) | Archer on the Beach [89] (4:56) | Midnight Meet the Rain [83] (3:24) | Solace's Bride [83] (3:43) | Bangkok [91] (5:14) | Sun in the Sky [86] (5:33) | Times Square, Poison Season II [84] (3:02)",NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,13,87.15384615384616,Total Length: 52 minutes,79,82,https://www.albumoftheyear.org/album/33501-destroyer-poison-season.php
"August 20, 2013",A$AP Ferg,Trap Lord,70,https://www.youtube.com/watch?v=YFTUk2n9QCU,355,19,LP,"Columbia, ASAP Worldwide, Polo Grounds, RCA","Hip Hop, Trap, East Coast Hip Hop",NA,asapferg.com,NA,NA,NA,NA,NA,71,69,https://www.albumoftheyear.org/album/8981-asap-ferg-trap-lord.php
"August 2, 2011",Machinedrum,Room(s),60,https://www.youtube.com/watch?v=PaWQFOJ7D4o,53,12,LP,Planet Mu,"IDM, Juke, Footwork",NA,machinedrum.net,NA,NA,NA,NA,NA,77,74,https://www.albumoftheyear.org/album/3136-machinedrum-rooms.php
"April 5, 2010",Darkthrone,Circle the Wagons,50,https://www.youtube.com/watch?v=JsQHABGsCUQ,21,3,LP,Peaceville,Black Metal,NA,NA,NA,NA,NA,NA,NA,60,68,https://www.albumoftheyear.org/album/39987-darkthrone-circle-the-wagons.php
"February 14, 2019",Uboa,The Origin of My Depression,80,https://www.youtube.com/watch?v=tIo6MOswfY8,508,1,LP,No Label,"Dark Ambient, Death Industrial, Noise, Singer-Songwriter, Harsh Noise",NA,NA,NA,NA,NA,NA,NA,81,80,https://www.albumoftheyear.org/album/148651-uboa-the-origin-of-my-depression.php
"May 22, 2012",Mount Eerie,Clear Moon,70,https://www.youtube.com/watch?v=60d5MYBMAns,245,18,LP,P. W. Elverum & Sun Ltd.,"Singer-Songwriter, Avant-Folk, Psychedelic Folk",Phil Elverum,NA,"Through the Trees, Pt. 2 [NA] (25:50) | the Place Lives [NA] (2:42) | the Place I Live [NA] (5:58) | (Something) [NA] (1:31) | Lone Bell [NA] (4:15) | House Shape [NA] (4:03) | Over Dark Water [NA] (3:06) | (Something) [NA] (0:30) | Clear Moon [NA] (7:20) | Yawning Sky [NA] (3:28) | (Synthesizer) [NA] (2:59)",NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,11,NA,Total Length: 41 minutes,78,81,https://www.albumoftheyear.org/album/3449-mount-eerie-clear-moon.php
"February 13, 2009",Drake,So Far Gone,50,https://www.youtube.com/watch?v=0YPMV6iTy-U,439,4,Mixtape,"Young Money, Cash Money","Pop Rap, Contemporary R&B, R&B","Diplo, Kanye West, Chilly Gonzales, DJ Screw, Just Blaze, Eric Hudson, Boi-1da, John Hill, Björn Yttling",www.drakeofficial.com,NA,NA,NA,NA,NA,62,66,https://www.albumoftheyear.org/album/110667-drake-so-far-gone.php
"May 27, 2022",JER,Bothered/Unbothered,80,https://youtu.be/OeUTdHtfz5o,42,2,LP,"Bad Time Records, Bad Time","Ska Punk, Ska",NA,NA,NA,NA,NA,NA,NA,77,90,https://www.albumoftheyear.org/album/508858-jer-botheredunbothered.php
"January 18, 2019",Maggie Rogers,Heard It In A Past Life,30,https://www.youtube.com/watch?v=asIkx9NJs7o,623,29,LP,Capitol Records,Synthpop,"Kid Harpoon, Rostam, Maggie Rogers, Ricky Reed, Greg Kurstin",NA,Give A Little [74] (3:46) | Overnight [79] (3:20) | The Knife [74] (3:59) | Alaska [88] (3:08) | Light On [89] (3:53) | Past Life [63] (3:36) | Say It [73] (3:40) | On + Off [81] (3:41) | Fallingwater [82] (4:31) | Retrograde [86] (4:11) | Burning [88] (3:33) | Back In My Body [80] (4:09),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,12,79.75,Total Length: 45 minutes,68,71,https://www.albumoftheyear.org/album/124302-maggie-rogers-heard-it-in-a-past-life.php
"February 9, 2018",Various Artists,Black Panther: The Album,60,https://www.youtube.com/watch?v=TcMeRrIJe1M,1110,16,Soundtrack,"Aftermath, Top Dawg, Interscope","Contemporary R&B, West Coast Hip Hop, Trap, Pop Rap, R&B",NA,NA,"Kendrick Lamar - Black Panther [80] (2:10) | Kendrick Lamar, SZA - All The Stars [91] (3:52) | Schoolboy Q, 2 Chainz, Saudi - X [77] (4:27) | Khalid, Swae Lee - The Ways [70] (3:58) | Vince Staples, Yugen Blakrok - Opps [83] (3:00) | Jorja Smith - I Am [78] (3:28) | SOB X RBE - Paramedic! [76] (3:39) | Ab-Soul, Anderson .Paak, James Blake - Bloody Waters [77] (4:32) | Jay Rock, Kendrick Lamar, Future, James Blake - King's Dead [84] (3:45) | Zacari - Redemption Interlude [63] (1:25) | Zacari, Babes Wodumo - Redemption [72] (3:42) | Mozzy, Sjava, REASON - Seasons [74] (4:02) | Kendrick Lamar, Travis Scott - Big Shot [67] (3:41) | The Weeknd, Kendrick Lamar - Pray For Me [88] (3:31)",NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,14,77.14285714285714,Total Length: 49 minutes,72,78,https://www.albumoftheyear.org/album/99139-various-artists-black-panther-the-album.php
"January 8, 2013",Comadre,Comadre,80,https://www.youtube.com/watch?v=CYCHwDRCm2I,11,1,LP,Vitriol,Screamo,NA,NA,NA,NA,NA,NA,NA,74,80,https://www.albumoftheyear.org/album/28245-comadre-comadre.php
"July 8, 2016",Schoolboy Q,Blank Face LP,50,https://www.youtube.com/watch?v=T0TQ5e75qx8,941,21,LP,"Top Dawg, Interscope",Hip Hop,"Tyler, the Creator, The Alchemist, Swizz Beatz, Metro Boomin, Cardo, Southside, Dem Jointz, DJ Dahi, Cubeatz, Sounwave, Willie B, Yung Exclusive, Rance, Tae Beast",www.schoolboyq.com,TorcH [94] (5:34) | Lord Have Mercy [91] (1:44) | That Part [84] (5:13) | Groovy Tony / Eddie Kane [92] (6:19) | Kno Ya Wrong [92] (5:25) | Ride Out [90] (4:47) | WHateva U Want [82] (3:50) | By Any Means [86] (3:34) | Dope Dealer [89] (3:42) | JoHn Muir [98] (3:39) | Big Body [73] (3:43) | Neva CHange [91] (4:29) | Str8 Ballin [80] (4:09) | Black THougHts [89] (3:42) | Blank Face [96] (3:14) | Overtime [71] (4:38) | Tookie Knows II [84] (4:45),"NA | NA | Kanye West | Jadakiss | Lance Skiiiwalker | Vince Staples | Candice Pillay | NA | E-40 | NA | Tha Dogg Pound | SZA | NA | NA | Anderson .Paak | Miguel, Justine Skye | Traffic, T.F",17,87.17647058823529,"Total Length: 1 hour, 12 minutes",78,75,https://www.albumoftheyear.org/album/56610-schoolboy-q-blank-face.php
